conversation_id,speaker,turn,text,label
C010,victim,8,"Username is myname123, password is Secret@99. Please verify quickly.",1
C011,attacker,1,"Hello, is this Mr. Rajesh? This is a call from your bank.",0
C011,victim,2,"Yes, this is Rajesh. What is this about?",0
C011,attacker,3,Sir we are calling to inform you about a new savings scheme. Would you like to know more?,0
C011,victim,4,"I'm not interested in any new schemes right now, thank you.",0
C011,attacker,5,"Okay sir, no problem. Have a good day.",0
C011,victim,6,"Thanks, goodbye.",0
C012,attacker,1,"Hi, is this Priya? Calling from the yoga center about your membership renewal.",0
C012,victim,2,"Oh yes, I was meaning to call you about that.",0
C012,attacker,3,Your membership expires next week. Would you like to renew for another year?,0
C012,victim,4,"Yes please, how much is the renewal fee?",0
C012,attacker,5,It's Rs 5000 for the annual plan. You can pay at the center or online.,0
C012,victim,6,I'll come in tomorrow and pay at the center. Thank you for the reminder.,0
C013,attacker,1,"Hello sir, this is the courier company. We have a package for you.",0
C013,victim,2,"Oh good, I was expecting a delivery.",0
C013,attacker,3,Sir we tried to deliver but you were unavailable. Can we reschedule for tomorrow?,0
C013,victim,4,Yes tomorrow morning would work. Between 10 and 12 please.,0
C013,attacker,5,"Perfect, we'll have it delivered between 10 and 12. Please keep your ID ready.",0
C013,victim,6,"Sure, I'll be home. Thank you.",0
C014,attacker,1,"Good morning, calling from the school about your child's admission.",0
C014,victim,2,Yes we submitted the application last week.,0
C014,attacker,3,We are happy to inform you that your child has been selected for admission.,0
C014,victim,4,That's wonderful news! What are the next steps?,0
C014,attacker,5,Please come to the school office with the documents by Friday to complete the process.,0
C014,victim,6,We'll be there Thursday. Thank you so much.,0
C015,attacker,1,"Namaste, yeh local grocery store se call hai. Aapka order ready hai.",0
C015,victim,2,"Accha, main aaj shaam ko le jaunga.",0
C015,attacker,3,Theek hai sir. Hum 7 baje tak open hain.,0
C015,victim,4,"Perfect, main 6 baje aaunga.",0
C015,attacker,5,Zaroor sir. Aapka intezaar rahega.,0
C015,victim,6,Shukriya. Bye.,0
C016,attacker,1,Hi this is the doctor's clinic calling to confirm your appointment.,0
C016,victim,2,Yes I have an appointment at 3pm tomorrow.,0
C016,attacker,3,That's correct. Just a reminder to bring any previous reports.,0
C016,victim,4,Sure I'll bring them. Is there anything else I need?,0
C016,attacker,5,No that's all. See you tomorrow.,0
C016,victim,6,Thank you. Goodbye.,0
C017,attacker,1,Hello sir this is from the housing society. Annual maintenance is due.,0
C017,victim,2,Yes I was planning to pay this week.,0
C017,attacker,3,You can pay at the office or transfer to the society account.,0
C017,victim,4,I'll transfer online. Can you give me the account details?,0
C017,attacker,5,"Sure, account number 1234567890, IFSC HDFC0001234.",0
C017,victim,6,Got it. I'll transfer by evening. Thanks.,0
C018,attacker,1,"Bhai, kaisa hai? Bahut dino baad call kiya.",0
C018,victim,2,Yaar sab theek hai. Tu bata.,0
C018,attacker,3,Kal match dekhne ka plan bana rahe hain. Aayega?,0
C018,victim,4,Haan bilkul. Kahan pe?,0
C018,attacker,5,Mere ghar pe. 7 baje aa ja.,0
C018,victim,6,Perfect. Main 7 baje pahunch jaunga.,0
C019,attacker,1,"Hello, is this the owner of the Honda City with registration MH02AB1234?",0
C019,victim,2,Yes that's my car. What is this about?,0
C019,attacker,3,Sir we are calling from the service center. Your car is due for its annual service.,0
C019,victim,4,Yes I've been meaning to get it serviced. Can I book for next Saturday?,0
C019,attacker,5,Of course sir. We have a slot at 10am. I'll send you a confirmation SMS.,0
C019,victim,6,Perfect. See you Saturday.,0
C020,attacker,1,Madam this is from Apollo Hospital. Your test results are ready.,0
C020,victim,2,"Oh, I've been waiting for those. Are they good?",0
C020,attacker,3,All your reports are normal. The doctor will explain when you visit.,0
C020,victim,4,That's a relief. When can I come to collect them?,0
C020,attacker,5,Any time between 9am and 5pm. Just bring your registration slip.,0
C020,victim,6,I'll come tomorrow morning. Thank you.,0
C021,attacker,1,Sir this is CBI. Aapka naam ek sedition case mein aaya hai.,1
C021,victim,2,Sedition? That is absolutely false. I have nothing to do with any such thing.,1
C021,attacker,3,Sir we have evidence. Court has issued a warrant. You must comply.,1
C021,victim,4,I want to speak to a lawyer before I say or do anything.,1
C021,attacker,5,Do not contact a lawyer. This is a confidential matter. Pay the settlement now.,1
C021,victim,6,No. I am not paying anything without consulting my lawyer. This seems like a fraud.,1
C021,attacker,7,Sir please cooperate otherwise we will send officers to your house.,1
C021,victim,8,Go ahead and send them. I am calling the police right now. This is a scam.,1
C022,attacker,1,Madam aapka Aadhaar ek terrorist funding case mein linked hai.,1
C022,victim,2,Yeh bilkul bakwaas hai. Main ek teacher hoon.,1
C022,attacker,3,Madam hum jaante hain lekin records aapke naam pe hain. Cooperate karna hoga.,1
C022,victim,4,Main kisi bhi illegal kaam mein involved nahi hoon. Prove karo.,1
C022,attacker,5,Abhi Rs 50000 pay karo warna aapko arrest kiya jayega.,1
C022,victim,6,Main police ko call karti hoon. Aap fraud kar rahe hain.,1
C022,attacker,7,Madam police ko call mat karo. Is case ko aur bada mat banao.,1
C022,victim,8,Main phone rakh rahi hoon. Aur main actual police ko report karungi.,1
C023,attacker,1,This is officer Patel. Your account is involved in money laundering.,1
C023,victim,2,I don't believe this. I need to verify your identity first.,1
C023,attacker,3,Sir we don't have time for verification. Pay immediately or face arrest.,1
C023,victim,4,Legitimate officers don't ask for money over phone. Who are you really?,1
C023,attacker,5,Sir I assure you this is official. Please don't make this harder.,1
C023,victim,6,I'm going to call the actual cybercrime helpline to verify this call.,1
C023,attacker,7,Sir please don't do that. You will complicate the case.,1
C023,victim,8,I'm reporting this call. You are a fraud. Goodbye.,1
C024,attacker,1,Sir aap ek drug trafficking case ke suspect hain.,1
C024,victim,2,Yeh galat hai. Main ek software engineer hoon.,1
C024,attacker,3,Sir aapke phone ka data hamare paas hai. Cooperate karo.,1
C024,victim,4,Mujhe apne vakeel se baat karni hai pehle.,1
C024,attacker,5,Vakeel ki zaroorat nahi. Sirf Rs 30000 pay karo.,1
C024,victim,6,Nahi karunga. Main is call ko record kar raha hoon. Yeh fraud call hai.,1
C024,attacker,7,Sir record mat karo. Yeh illegal hai.,1
C024,victim,8,Main police station ja raha hoon abhi. Phone rakh raha hoon.,1
C025,attacker,1,This is SEBI officer. Your stock account shows insider trading.,1
C025,victim,2,That's a serious allegation. I need to see documentation.,1
C025,attacker,3,Sir we don't share documentation over call. Pay the settlement now.,1
C025,victim,4,Real SEBI officers don't call and demand money. I'm not paying anything.,1
C025,attacker,5,Sir this is your last chance to resolve this out of court.,1
C025,victim,6,I'm contacting my broker and SEBI directly to verify. This is a scam.,1
C026,attacker,1,Aapke naam pe ek courier seized hua hai jisme drugs the.,1
C026,victim,2,Main kisi bhi courier ka wait nahi kar raha. Yeh fraud hai.,1
C026,attacker,3,Sir aapka naam clearly likha hai. Cooperate karo warna problem hogi.,1
C026,victim,4,Main is call ko report kar raha hoon. Cybercrime helpline pe.,1
C027,attacker,1,Hello sir this is the National Cyber Crime portal. Urgent action needed.,1
C027,victim,2,What is the nature of this action?,1
C027,attacker,3,Your account is involved in a Rs 5 crore fraud. Pay immediately to clear your name.,1
C027,victim,4,I will verify this through the official website before doing anything.,1
C027,attacker,5,Sir the website is down. Please cooperate on call only.,1
C027,victim,6,If the website is down I'll visit the cyber crime office in person. Goodbye.,1
C028,attacker,1,Madam aapki beti ke phone se illegal content share hua hai.,1
C028,victim,2,Yeh impossible hai. Meri beti sirf 12 saal ki hai.,1
C028,attacker,3,Madam records hamare paas hain. Aapko turant cooperate karna hoga.,1
C028,victim,4,Main apne husband ko bula rahi hoon. Aur hum police station jayenge.,1
C028,attacker,5,Please police ko involve mat karo. Seedha settle karo.,1
C028,victim,6,Nahi. Main phone rakh rahi hoon aur police ko call karti hoon.,1
C029,attacker,1,Sir this is an urgent call from the Income Tax Department.,1
C029,victim,2,Okay what is this about?,1
C029,attacker,3,You owe Rs 85000 in back taxes. Pay immediately or face legal action.,1
C029,victim,4,I'll call the IT department directly to verify this.,1
C029,attacker,5,Sir don't call them. Come through us and we'll settle this quietly.,1
C029,victim,6,Legitimate tax officials don't say that. I'm reporting this. Goodbye.,1
C030,attacker,1,Sir aap ek ponzi scheme ke accused hain.,1
C030,victim,2,Yeh sach nahi hai. Main kisi ponzi scheme mein involved nahi hoon.,1
C030,attacker,3,Sir aapka naam list mein hai. Settle karo warna FIR hogi.,1
C030,victim,4,FIR hone do. Main innocent hoon. Mere paas sab records hain.,1
C030,attacker,5,Sir settle karo quietly. Rs 20000 mein case band ho jayega.,1
C030,victim,6,Fraud hai yeh. Main cybercrime helpline pe complain kar raha hoon.,1
C031,attacker,1,This is officer Singh calling. We have evidence of tax evasion against you.,1
C031,victim,2,What kind of evidence? Can you be specific?,1
C031,attacker,3,Sir our system shows discrepancy of Rs 3 lakh. You need to pay a penalty now.,1
C031,victim,4,I'll verify this with my CA. I'm not paying anything on a phone call.,1
C031,attacker,5,Sir your CA cannot help here. This is direct court order.,1
C031,victim,6,No legitimate court sends orders via random phone calls. This is a scam.,1
C032,attacker,1,Sir your mobile number was used to make bomb threat calls.,1
C032,victim,2,That's completely false. I want to know how to file a complaint.,1
C032,attacker,3,Sir don't file any complaint. Just pay the clearance fee and this goes away.,1
C032,victim,4,I am filing a complaint right now. Real investigators don't ask for clearance fees.,1
C033,attacker,1,Madam aapka bank account suspicious activity ke liye flag hua hai.,1
C033,victim,2,I handle my account carefully. What specific activity?,1
C033,attacker,3,We cannot disclose over call. Share your account details for immediate verification.,1
C033,victim,4,Banks never ask for account details over phone. Who are you?,1
C033,attacker,5,Madam please don't waste time. Your account will be frozen in 1 hour.,1
C033,victim,6,I'm calling my bank directly right now on the number on the back of my card.,1
C034,attacker,1,Sir is CBI officer speaking. National security matter.,1
C034,victim,2,CBI calls through official channels. How did you get my number?,1
C034,attacker,3,Sir we got it from the national database. Cooperate immediately.,1
C034,victim,4,I'm going to verify your identity through the CBI website.,1
C034,attacker,5,Sir the website won't have this information. Trust me and cooperate.,1
C034,victim,6,Legitimate officers don't say trust me. I'm ending this call.,1
C035,attacker,1,Aapka naam ek illegal SIM card racket mein aaya hai.,1
C035,victim,2,Galat number hai aapka. Aap galat insaan se baat kar rahe hain.,1
C035,attacker,3,Sir aapka aadhar se linked hai. Cooperate karna hoga.,1
C035,victim,4,Main actual TRAI ke helpline pe call karta hoon verify karne ke liye.,1
C036,attacker,1,Hello sir urgent message from your credit card company.,1
C036,victim,2,Okay what is it?,1
C036,attacker,3,Suspicious transaction detected. Please share OTP to reverse it.,1
C036,victim,4,Banks never ask for OTP on phone. You are a fraudster.,1
C036,attacker,5,Sir please it's urgent. Your card will be blocked.,1
C036,victim,6,Block it then. I'll visit the branch. You are trying to steal my money.,1
C037,attacker,1,This is the digital arrest division. You are under surveillance.,1
C037,victim,2,Digital arrest is not a legal concept in India.,1
C037,attacker,3,Sir it has been newly enacted. Cooperate or face consequences.,1
C037,victim,4,No such law exists. This is a well-known scam. I am reporting you.,1
C038,attacker,1,Sir aapka Aadhaar suspend ho gaya hai illegal transactions ke wajah se.,1
C038,victim,2,UIDAI se directly contact karta hoon is baare mein.,1
C038,attacker,3,Sir UIDAI time nahi dega. Abhi Rs 2000 pay karo reactivation ke liye.,1
C038,victim,4,UIDAI ka reactivation free hai. Yeh scam hai. Goodbye.,1
C039,attacker,1,"Hello, this is just a quick survey call from our research firm.",0
C039,victim,2,"Okay, what kind of survey?",0
C039,attacker,3,We are researching consumer satisfaction with mobile services. Takes 2 minutes.,0
C039,victim,4,"Sure, go ahead.",0
C039,attacker,5,On a scale of 1 to 10 how satisfied are you with your current provider?,0
C039,victim,6,I'd say about 7. Good service but sometimes slow.,0
C039,attacker,7,Thank you for your time. That's all we needed.,0
C039,victim,8,No problem. Have a good day.,0
C040,attacker,1,Hi is this the owner of flat 304? Calling from the building management.,0
C040,victim,2,"Yes, how can I help?",0
C040,attacker,3,We're doing a plumbing check in all flats tomorrow. Can we come between 10 and 12?,0
C040,victim,4,Yes that's fine.,0
C040,attacker,5,"Thank you, we'll see you then.",0
C040,victim,6,"Sure, see you tomorrow.",0
C041,attacker,1,Hello sir this is an insurance renewal reminder call.,0
C041,victim,2,Oh yes my policy is due next month.,0
C041,attacker,3,Would you like to renew? We can email you the details.,0
C041,victim,4,Please send the details to my email. I'll review and decide.,0
C041,attacker,5,Of course. We'll send it right away.,0
C041,victim,6,Thank you.,0
C042,attacker,1,"Namaste, yeh coaching center se call hai. Aapke bacche ka result aaya hai.",0
C042,victim,2,"Haan batao, kaisa raha?",0
C042,attacker,3,Unhone bahut achha kiya hai. Top 10 mein hain.,0
C042,victim,4,Bahut achha. Bahut khushi hui sunke.,0
C042,attacker,5,Kal certificate lene aa sakte hain.,0
C042,victim,6,Zaroor aayenge. Shukriya.,0
C043,attacker,1,"Hello, is this Anita? Calling from the travel agency about your booking.",0
C043,victim,2,"Yes, I booked a trip to Goa for next month.",0
C043,attacker,3,Your booking is confirmed. Hotel and flights are all set.,0
C043,victim,4,Great. Can you send me the confirmation on email?,0
C043,attacker,5,"Absolutely, you'll receive it within an hour.",0
C043,victim,6,"Perfect, thank you.",0
C044,attacker,1,Sir this is from the electricity board. Your bill is overdue.,0
C044,victim,2,I paid last week actually.,0
C044,attacker,3,Let me check. Yes I see the payment. Sorry for the confusion sir.,0
C044,victim,4,"No worries, these things happen.",0
C044,attacker,5,Have a good day sir.,0
C044,victim,6,"You too, goodbye.",0
C045,attacker,1,Hi this is Rahul from college calling.,0
C045,victim,2,Hey Rahul! How are you doing?,0
C045,attacker,3,I'm good yaar. Long time no talk. What's up with you?,0
C045,victim,4,All good. Started a new job last month.,0
C045,attacker,5,Oh nice! Let's meet up this weekend.,0
C045,victim,6,"Sure, let's plan for Sunday.",0
C046,attacker,1,Sir aap ek international fraud case mein involved hain.,1
C046,victim,2,"Okay, please tell me more. What fraud?",1
C046,attacker,3,Your account was used to route Rs 50 lakh to overseas accounts.,1
C046,victim,4,That is terrible. What do I need to do?,1
C046,attacker,5,Pay Rs 80000 immediately as security bond to freeze the investigation.,1
C046,victim,6,Okay I trust you. I'll pay. How do I send it?,1
C046,attacker,7,UPI to secure.govt@hdfc. Do it now and share the UTR number.,1
C046,victim,8,"Done, UTR is 12345678901. Please help me clear my name.",1
C047,attacker,1,Madam you are under digital arrest. Do not leave your location.,1
C047,victim,2,Digital arrest? What is that? I'm scared.,1
C047,attacker,3,It means you are under virtual surveillance. Do not speak to anyone.,1
C047,victim,4,"Okay okay, I won't speak to anyone. What do I need to do?",1
C047,attacker,5,Transfer Rs 1 lakh to our secure government account immediately.,1
C047,victim,6,I'll do it right now. Please don't arrest me.,1
C047,attacker,7,Also share your net banking login to verify the transfer.,1
C047,victim,8,"Username is priya_123, password is Home#2024. Please hurry.",1
C048,attacker,1,Sir is case mein aapki property attach ho sakti hai.,1
C048,victim,2,Property attach? Main abhi vakeel ko call karta hoon.,1
C048,attacker,3,Sir vakeel ko involve kiya toh case aur bada ho jayega.,1
C048,victim,4,Nahi. Main zaroor vakeel se baat karunga.,1
C048,attacker,5,Sir please reconsider. Settle karo Rs 45000 mein.,1
C048,victim,6,Main phone rakh raha hoon. Yeh fraud hai. Cybercrime mein report karunga.,1
C049,attacker,1,This is the passport authority. Your passport application has an issue.,1
C049,victim,2,What kind of issue?,1
C049,attacker,3,There is a mismatch in your documents. Pay Rs 3000 for expedited verification.,1
C049,victim,4,I'll visit the passport office directly tomorrow.,1
C049,attacker,5,Sir that will take weeks. We can resolve it now on call.,1
C049,victim,6,Passport offices don't take payments over phone. This is a scam.,1
C050,attacker,1,Bhai main officer bol raha hoon. Aapke ghar pe raid aane wali hai.,1
C050,victim,2,Kaunse officer? ID proof dikhao.,1
C050,attacker,3,ID proof call pe nahi deta main. Bas Rs 10000 do aur raid nahi hogi.,1
C050,victim,4,Yeh open extortion hai. Main thane ja raha hoon abhi.,1
C050,attacker,5,Sir mat jaao. Baat karte hain.,1
C050,victim,6,Phone rakh raha hoon. Fraud hai yeh.,1
C051,attacker,1,Hello sir we detected unauthorized login on your account.,1
C051,victim,2,"Oh no, what do I do?",1
C051,attacker,3,Share your OTP immediately to block the unauthorized access.,1
C051,victim,4,Okay the OTP is 548762.,1
C051,attacker,5,"Thank you sir, account is now secured.",1
C051,victim,6,Thank you so much for helping.,1
C052,attacker,1,Madam your electricity connection will be cut in 2 hours if you don't pay.,1
C052,victim,2,What? I pay regularly. Let me check my records.,1
C052,attacker,3,Madam no time. Pay Rs 1500 now via UPI.,1
C052,victim,4,I'll call the electricity board directly on their helpline.,1
C052,attacker,5,Madam by then it will be cut. Pay now.,1
C052,victim,6,The helpline number is on my bill. I'm calling them. Not you.,1
C053,attacker,1,Sir this is from the Prime Minister's cybersecurity task force.,1
C053,victim,2,That sounds very official. What is this about?,1
C053,attacker,3,Your phone has been identified in a national security breach. You must cooperate.,1
C053,victim,4,I want to help with national security. What do you need?,1
C053,attacker,5,Pay Rs 25000 as a security clearance fee and share your location.,1
C053,victim,6,Okay I trust you. Paying now and my address is 45 MG Road Bangalore.,1
C053,attacker,7,Thank you sir. Your cooperation will be noted.,1
C053,victim,8,Please keep me safe. I've shared everything you asked for.,1
C054,attacker,1,Sir aapko abhi video call pe aana hoga virtual court ke liye.,1
C054,victim,2,Virtual court? Kaunse case mein?,1
C054,attacker,3,Aapke naam pe ek case hai. Aao nahi toh warrant execute hoga.,1
C054,victim,4,Court se official notice aata hai pehle. Yeh procedure nahi hai.,1
C054,attacker,5,Sir yeh naya digital court system hai. Trust karo.,1
C054,victim,6,Main high court ke helpdesk pe call karta hoon verify karne ke liye.,1
C055,attacker,1,Madam your child's school fees are pending.,0
C055,victim,2,I submitted the fees last Monday.,0
C055,attacker,3,"Let me check. Yes, I see the receipt. There's a system error on our end.",0
C055,victim,4,Please ensure it's corrected. I have the receipt.,0
C055,attacker,5,Absolutely madam. We'll fix it today.,0
C055,victim,6,Thank you.,0
C056,attacker,1,Hello this is the blood bank. We have a request for your blood type.,0
C056,victim,2,"Of course, when do you need it?",0
C056,attacker,3,Tomorrow morning if possible. It's for an emergency patient.,0
C056,victim,4,I'll be there at 9am.,0
C056,attacker,5,Thank you so much. You're saving a life.,0
C056,victim,6,Happy to help. See you tomorrow.,0
C057,attacker,1,Sir is your internet connection working fine?,0
C057,victim,2,Yes it's fine actually.,0
C057,attacker,3,We detected some intermittent issues in your area. Just routine checkup call.,0
C057,victim,4,It seems fine to me right now.,0
C057,attacker,5,Good to hear. We'll monitor and let you know if anything changes.,0
C057,victim,6,Thank you for checking.,0
C058,attacker,1,Hello aapke naam pe ek property document galat file hua hai.,1
C058,victim,2,Kaunsi property? Meri toh koi property nahi hai.,1
C058,attacker,3,Sir galat naam pe ek property aapke Aadhaar se link hai. Yeh serious hai.,1
C058,victim,4,Yeh fraud lagta hai. Main ek advocate se baat karta hoon.,1
C058,attacker,5,Advocate se baat mat karo. Rs 15000 do aur hum link remove kar denge.,1
C058,victim,6,Bilkul nahi. Main consumer forum mein jaata hoon. Yeh blackmail hai.,1
C059,attacker,1,Sir aapke account mein ek crore ka suspicious credit aaya hai.,1
C059,victim,2,Kya? Main toh check karta hoon abhi.,1
C059,attacker,3,Sir check mat karo. Agar aapne kisi ko bataya toh aapko arrested kiya jayega.,1
C059,victim,4,Main apna bank directly call karta hoon.,1
C059,attacker,5,Sir unhe mat batao. Sirf hum se deal karo.,1
C059,victim,6,Nahi. Main apne bank se baat kar raha hoon abhi. Bye.,1
C060,attacker,1,Sir this is the last warning before we send officers to your address.,1
C060,victim,2,Send them. I've done nothing wrong and I have nothing to hide.,1
C060,attacker,3,Sir please reconsider. Just pay Rs 20000 and this ends.,1
C060,victim,4,I am recording this call and filing a complaint. Goodbye.,1
C061,attacker,1,Sir aapka naam ek high-profile drug case mein aaya hai. Main officer Rajput bol raha hoon.,1
C061,victim,2,Drug case? Yeh toh bilkul galat hai. Main kuch nahi jaanta.,1
C061,attacker,3,Sir records hamare paas hain. Aapko abhi cooperate karna hoga warna arrest hoga.,1
C061,victim,4,Please main innocent hoon. Kya karun main?,1
C061,attacker,5,Rs 35000 transfer karo hamare secure account mein. Case band ho jayega.,1
C061,victim,6,Theek hai kar deta hoon. Mujhe arrest nahi hona.,1
C061,attacker,7,Aur apna Aadhaar OTP bhi share karo identity verification ke liye.,1
C061,victim,8,OTP aaya hai 456123. Please mujhe is case se bahar nikalo.,1
C062,attacker,1,This is the passport authority. Your passport application flagged for suspicious travel history.,1
C062,victim,2,I travel for work. Everything is legitimate.,1
C062,attacker,3,Sir we have red flags. Pay the clearance fee immediately or passport gets cancelled.,1
C062,victim,4,How much is the fee? I need my passport for travel next week.,1
C062,attacker,5,Rs 8000 to our official account. Must be done in 2 hours.,1
C062,victim,6,Okay sending now. Please don't cancel my passport.,1
C062,attacker,7,Good. Also share your flight booking details for our records.,1
C062,victim,8,My flight is on 15th March to Dubai. Booking reference AB1234. Please help.,1
C063,attacker,1,Madam aapke naam pe ek illegal SIM card activate hua hai.,1
C063,victim,2,Main toh sirf ek hi SIM use karti hoon.,1
C063,attacker,3,Madam records hamare paas hain. Aapko turant cooperate karna hoga.,1
C063,victim,4,Kya karna hoga mujhe? Bahut dar lag raha hai.,1
C063,attacker,5,Rs 5000 ka fine bharo abhi. Warna criminal case darj hoga.,1
C063,victim,6,Okay kar deti hoon. Account number do please.,1
C063,attacker,7,UPI pe bhejo aur screenshot share karo hamare WhatsApp pe.,1
C063,victim,8,Done. Screenshot bhej rahi hoon. Please mujhe bachao.,1
C064,attacker,1,Hello sir this is from the Income Tax refund department.,1
C064,victim,2,"Oh, I have been waiting for my refund.",1
C064,attacker,3,Sir your refund of Rs 15000 is ready. We need to verify your account.,1
C064,victim,4,"Yes please, how do I verify?",1
C064,attacker,5,Share your account number and the OTP we send to your registered mobile.,1
C064,victim,6,Account is 987654321 and OTP is 778899.,1
C064,attacker,7,Thank you. One more verification — your net banking password.,1
